accession,evidence,location,MANUAL_MAP
M5A8F1,ECO:0000269,Secreted,Extracellular
O94298,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q21166,ECO:0000269,Cytoplasm,Cytoplasm
Q21166,ECO:0000269,Nucleus,Nucleus
Q5A4M8,ECO:0000269,Cell membrane,Cell.membrane
P54003,ECO:0000269,Cell membrane,Cell.membrane
Q15022,ECO:0000269,Nucleus,Nucleus
Q80U70,ECO:0000269,Nucleus,Nucleus
Q80U70,ECO:0000269,Chromosome,Nucleus
Q9JIS5,ECO:0000269,Cell junction,Cell.membrane
Q02563,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q63564,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
P53201,ECO:0000269,Nucleus,Nucleus
B3STP1,ECO:0000269,Cytoplasm,Cytoplasm
P43554,ECO:0000269,Nucleus,Nucleus
R0MLT0,ECO:0000269,Cytoplasm,Cytoplasm
Q05471,ECO:0000269,Nucleus,Nucleus
O32266,ECO:0000269,Cytoplasm,Cytoplasm
Q86NH1,ECO:0000269,Cell junction,Cell.membrane
Q9M084,ECO:0000269,Cytoplasm,Cytoplasm
Q9M084,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
P14868,ECO:0000269,Cytoplasm,Cytoplasm
O74407,ECO:0000269,Cytoplasm,Cytoplasm
Q95XQ1,ECO:0000269,Nucleus,Nucleus
Q95XQ1,ECO:0000269,Nucleus speckle,Nucleus
Q505J8,ECO:0000269,Cytoplasm,Cytoplasm
Q10179,ECO:0000269,Cytoplasm,Cytoplasm
Q9EPM5,ECO:0000269,Cytoplasm,Cytoplasm
P93736,ECO:0000269,Mitochondrion,Mitochondrion
P93736,ECO:0000269,Cytoplasm,Cytoplasm
F4KE63,ECO:0000269,Plastid,Plastid
F4KE63,ECO:0000269,Mitochondrion,Mitochondrion
O14160,ECO:0000269,Mitochondrion,Mitochondrion
Q86TM6,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O75005,ECO:0000269,Cytoplasm,Cytoplasm
P84018,ECO:0000269,Secreted,Extracellular
Q9NYW5,ECO:0000269,Membrane,Cell.membrane
F4HU58,ECO:0000269,Nucleus,Nucleus
O42912,ECO:0000269,Cytoplasm,Cytoplasm
O42912,ECO:0000269,Nucleus,Nucleus
A0A0U2UYC4,ECO:0000269,Cytoplasm,Cytoplasm
A0A0U2UYC4,ECO:0000269,Nucleus,Nucleus
Q7KSD8,ECO:0000269,Nucleus,Nucleus
O75478,ECO:0000269,Nucleus,Nucleus
Q8CHV6,ECO:0000269,Nucleus,Nucleus
Q8CHV6,ECO:0000269,Chromosome,Nucleus
Q9ATB4,ECO:0000269,Nucleus,Nucleus
Q8I8V0,ECO:0000269,Nucleus,Nucleus
Q6IDB6,ECO:0000269,Nucleus,Nucleus
Q6IDB6,ECO:0000269,Cytoplasm,Cytoplasm
Q7Z7C8,ECO:0000269,Nucleus,Nucleus
Q9EQH4,ECO:0000269,Nucleus,Nucleus
Q9EQH4,ECO:0000269,Cytoplasm,Cytoplasm
Q03750,ECO:0000269,Nucleus,Nucleus
Q16594,ECO:0000269,Nucleus,Nucleus
E9PV87,ECO:0000269,Cytoplasm,Cytoplasm
Q3YBN2,ECO:0000269,Secreted,Extracellular
Q6NXT6,ECO:0000269,Cytoplasm,Cytoplasm
O60067,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P40085,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P40085,ECO:0000269,Mitochondrion,Mitochondrion
Q9P6N7,ECO:0000269,Cytoplasm,Cytoplasm
Q9U280,ECO:0000269,Cell membrane,Cell.membrane
D4GVK4,ECO:0000269,Cell membrane,Cell.membrane
D4GVK4,ECO:0000269,Cytoplasm,Cytoplasm
P04608,ECO:0000269,Secreted,Extracellular
Q9ERD7,ECO:0000269,Cytoplasm,Cytoplasm
P07437,ECO:0000269,Cytoplasm,Cytoplasm
P99024,ECO:0000269,Cytoplasm,Cytoplasm
A1Z6J5,ECO:0000269,Cytoplasm,Cytoplasm
Q8TEA7,ECO:0000269,Cytoplasm,Cytoplasm
P20226,ECO:0000269,Nucleus,Nucleus
Q99593,ECO:0000269,Nucleus,Nucleus
Q99593,ECO:0000269,Cytoplasm,Cytoplasm
P38228,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q9FTA2,ECO:0000269,Nucleus,Nucleus
Q8LPR5,ECO:0000269,Nucleus,Nucleus
Q9VLR5,ECO:0000269,Nucleus,Nucleus
O14776,ECO:0000269,Nucleus,Nucleus
A1EC31,ECO:0000269,Secreted,Extracellular
P83608,ECO:0000269,Secreted,Extracellular
Q8RXZ9,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
B4FIJ0,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q9FI73,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
A0A1D6N272,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q1XG89,ECO:0000269,Chromosome,Nucleus
Q1XG89,ECO:0000269,Cytoplasm,Cytoplasm
Q1XG89,ECO:0000269,Nucleus membrane,Nucleus
P87061,ECO:0000269,Cytoplasm,Cytoplasm
Q1MTQ1,ECO:0000269,Cytoplasm,Cytoplasm
O60132,ECO:0000269,Cytoplasm,Cytoplasm
Q7K4M4,ECO:0000269,Nucleus,Nucleus
P0CI07,ECO:0000269,Secreted,Extracellular
Q86WV5,ECO:0000269,Nucleus,Nucleus
Q86WV5,ECO:0000269,Chromosome,Nucleus
Q9D7K2,ECO:0000269,Nucleus,Nucleus
Q9D7K2,ECO:0000269,Chromosome,Nucleus
Q6NME7,ECO:0000269,Nucleus,Nucleus
Q6NME7,ECO:0000269,Chromosome,Nucleus
G5EGQ6,ECO:0000269,Nucleus,Nucleus
G5EGQ6,ECO:0000269,Cell membrane,Cell.membrane
Q9W6V6,ECO:0000269,Cell membrane,Cell.membrane
Q9WTS4,ECO:0000269,Cell membrane,Cell.membrane
P0C5Y7,ECO:0000269,Nucleus,Nucleus
P0C5Y7,ECO:0000269,Chromosome,Nucleus
Q9R1K2,ECO:0000269,Cell membrane,Cell.membrane
Q9R1K2,ECO:0000269,Cell junction,Cell.membrane
Q9WTS6,ECO:0000269,Cell membrane,Cell.membrane
Q6N022,ECO:0000269,Cell membrane,Cell.membrane
Q3UHK6,ECO:0000269,Nucleus,Nucleus
Q3UHK6,ECO:0000269,Cytoplasm,Cytoplasm
Q9NXF1,ECO:0000269,Nucleus,Nucleus
Q3URQ0,ECO:0000269,Nucleus,Nucleus
Q3URQ0,ECO:0000269,Cytoplasm,Cytoplasm
Q14AT2,ECO:0000269,Chromosome,Nucleus
F8VPN2,ECO:0000269,Cytoplasm,Cytoplasm
F8VPN2,ECO:0000269,Nucleus,Nucleus
A0A343URW6,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9VH38,ECO:0000269,Mitochondrion,Mitochondrion
P10646,ECO:0000269,Microsome membrane,Endoplasmic.reticulum
Q7YRQ8,ECO:0000269,Secreted,Extracellular
P01137,ECO:0000269,Secreted,Extracellular
P84026,ECO:0000269,Secreted,Extracellular
F4ISV6,ECO:0000269,Nucleus,Nucleus
P07464,ECO:0000269,Cytoplasm,Cytoplasm
O94265,ECO:0000269,Cytoplasm,Cytoplasm
O94265,ECO:0000269,Nucleus,Nucleus
O94266,ECO:0000269,Cytoplasm,Cytoplasm
Q0AVM3,ECO:0000269,Cytoplasm,Cytoplasm
Q6T6C2,ECO:0000269,Secreted,Extracellular
Q9UPZ6,ECO:0000269,Cell membrane,Cell.membrane
Q9UPZ6,ECO:0000269,Secreted,Extracellular
Q69ZU6,ECO:0000269,Cell membrane,Cell.membrane
Q8LPR8,ECO:0000269,Plastid,Plastid
Q9LMA8,ECO:0000269,Nucleus,Nucleus
Q9ZST9,ECO:0000269,Plastid,Plastid
Q6RVV4,ECO:0000269,Plastid,Plastid
Q9FMD5,ECO:0000269,Plastid,Plastid
Q8GT66,ECO:0000269,Plastid,Plastid
Q9SK50,ECO:0000269,Plastid,Plastid
O49931,ECO:0000269,Plastid,Plastid
Q7Y1W1,ECO:0000269,Plastid,Plastid
Q8H0U5,ECO:0000269,Plastid,Plastid
Q9FGT8,ECO:0000269,Cell membrane,Cell.membrane
Q9FGT8,ECO:0000269,Cytoplasm,Cytoplasm
Q9FGT8,ECO:0000269,Plastid,Plastid
Q9ZW33,ECO:0000269,Mitochondrion intermembrane space,Mitochondrion
P62072,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q9XGY4,ECO:0000269,Mitochondrion intermembrane space,Mitochondrion
Q9Y8C0,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
P57744,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
P57744,ECO:0000269,Mitochondrion intermembrane space,Mitochondrion
Q9XGX9,ECO:0000269,Mitochondrion intermembrane space,Mitochondrion
Q570C0,ECO:0000269,Nucleus,Nucleus
Q8RWV0,ECO:0000269,Plastid,Plastid
F4IW47,ECO:0000269,Plastid,Plastid
O20250,ECO:0000269,Plastid,Plastid
P51854,ECO:0000269,Cytoplasm,Cytoplasm
P51854,ECO:0000269,Nucleus,Nucleus
Q04724,ECO:0000269,Nucleus,Nucleus
Q62440,ECO:0000269,Nucleus,Nucleus
Q9QUK6,ECO:0000269,Cell membrane,Cell.membrane
O60602,ECO:0000269,Cell membrane,Cell.membrane
Q9Y2C9,ECO:0000269,Cell membrane,Cell.membrane
Q9Y2C9,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9EPW9,ECO:0000269,Cell membrane,Cell.membrane
Q9EPW9,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
P58681,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P58681,ECO:0000269,Lysosome,Lysosome/Vacuole
P58681,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q6NUQ4,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9P0N5,ECO:0000269,Cytoplasm,Cytoplasm
Q9CQC4,ECO:0000269,Cytoplasm,Cytoplasm
Q8K1A5,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9DCF1,ECO:0000269,Lysosome,Lysosome/Vacuole
P57088,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P57088,ECO:0000269,Nucleus envelope,Nucleus
Q8WWA1,ECO:0000269,Membrane,Cell.membrane
P48023,ECO:0000269,Cell membrane,Cell.membrane
P48023,ECO:0000269,Lysosome lumen,Lysosome/Vacuole
P48023,ECO:0000269,Secreted,Extracellular
P48023,ECO:0000269,Nucleus,Nucleus
P41047,ECO:0000269,Cell membrane,Cell.membrane
P41047,ECO:0000269,Secreted,Extracellular
Q9BEA8,ECO:0000269,Secreted,Extracellular
P36940,ECO:0000269,Cell membrane,Cell.membrane
Q961C9,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9VYA8,ECO:0000269,Cytoplasm,Cytoplasm
Q9VYA8,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q6ICL3,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9VJ29,ECO:0000269,Cytoplasm,Cytoplasm
Q9VJ29,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q59H18,ECO:0000269,Nucleus,Nucleus
Q59H18,ECO:0000269,Cytoplasm,Cytoplasm
P28908,ECO:0000269,Cell membrane,Cell.membrane
P28908,ECO:0000269,Cytoplasm,Cytoplasm
Q60846,ECO:0000269,Cell membrane,Cell.membrane
Q63HR2,ECO:0000269,Cell junction,Cell.membrane
Q63HR2,ECO:0000269,Cell membrane,Cell.membrane
Q9LNC6,ECO:0000269,Cytoplasm,Cytoplasm
Q6NQK0,ECO:0000269,Cytoplasm,Cytoplasm
Q9FFQ0,ECO:0000269,Cytoplasm,Cytoplasm
Q9FFQ0,ECO:0000269,Membrane,Cell.membrane
O80910,ECO:0000269,Cytoplasm,Cytoplasm
Q8L860,ECO:0000269,Cytoplasm,Cytoplasm
P38825,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
Q9P0U1,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
Q9FNC9,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
A0A193KX02,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
A0A193KX02,ECO:0000269,Golgi apparatus,Golgi.apparatus
A0A193KX02,ECO:0000269,Basolateral cell membrane,Cell.membrane
Q8WZ04,ECO:0000269,Cytoplasm,Cytoplasm
A1Y9I9,ECO:0000269,Cytoplasm,Cytoplasm
A1Y9I9,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
P83249,ECO:0000269,Secreted,Extracellular
P83250,ECO:0000269,Secreted,Extracellular
P83251,ECO:0000269,Secreted,Extracellular
P90520,ECO:0000269,Mitochondrion,Mitochondrion
Q23670,ECO:0000269,Nucleus,Nucleus
Q23670,ECO:0000269,Chromosome,Nucleus
Q23670,ECO:0000269,Cytoplasm,Cytoplasm
Q66JW3,ECO:0000269,Nucleus,Nucleus
P82880,ECO:0000269,Secreted,Extracellular
Q6YLX9,ECO:0000269,Membrane,Cell.membrane
P0DI81,ECO:0000269,Cytoplasm,Cytoplasm
P0DI81,ECO:0000269,Nucleus,Nucleus
P0DI82,ECO:0000269,Cytoplasm,Cytoplasm
Q9UL33,ECO:0000269,Cytoplasm,Cytoplasm
Q9UL33,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q9UL33,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q8BWC0,ECO:0000269,Lysosome membrane,Lysosome/Vacuole
Q22866,ECO:0000269,Cytoplasm,Cytoplasm
P04692,ECO:0000269,Cytoplasm,Cytoplasm
P36029,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
P40238,ECO:0000269,Cell membrane,Cell.membrane
P40238,ECO:0000269,Golgi apparatus,Golgi.apparatus
P40238,ECO:0000269,Cell surface,Extracellular
O04348,ECO:0000269,Plastid,Plastid
O14773,ECO:0000269,Lysosome,Lysosome/Vacuole
O89023,ECO:0000269,Lysosome,Lysosome/Vacuole
Q9BX59,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q13595,ECO:0000269,Nucleus,Nucleus
P62995,ECO:0000269,Nucleus,Nucleus
P34709,ECO:0000269,Membrane,Cell.membrane
P62601,ECO:0000269,Cytoplasm,Cytoplasm
P14373,ECO:0000269,Nucleus,Nucleus
P14373,ECO:0000269,Cytoplasm,Cytoplasm
Q14134,ECO:0000269,Cytoplasm,Cytoplasm
Q14134,ECO:0000269,Lysosome,Lysosome/Vacuole
Q9BZY9,ECO:0000269,Cytoplasm,Cytoplasm
Q9BZY9,ECO:0000269,Mitochondrion,Mitochondrion
Q8CH72,ECO:0000269,Cytoplasm,Cytoplasm
Q6E2N3,ECO:0000269,Nucleus,Nucleus
Q9UPN9,ECO:0000269,Nucleus,Nucleus
Q99PP7,ECO:0000269,Nucleus,Nucleus
Q56R14,ECO:0000269,Nucleus,Nucleus
Q9BYJ4,ECO:0000269,Cytoplasm,Cytoplasm
Q9UPQ4,ECO:0000269,Cytoplasm,Cytoplasm
Q8C006,ECO:0000269,Cytoplasm,Cytoplasm
Q8U248,ECO:0000269,Cytoplasm,Cytoplasm
P38238,ECO:0000269,Cytoplasm,Cytoplasm
Q96Q11,ECO:0000269,Mitochondrion,Mitochondrion
Q9UL62,ECO:0000269,Cell membrane,Cell.membrane
Q9Y210,ECO:0000269,Cell membrane,Cell.membrane
Q9HCX4,ECO:0000269,Cell membrane,Cell.membrane
Q9HCX4,ECO:0000269,Nucleus envelope,Nucleus
Q9USZ5,ECO:0000269,Cytoplasm,Cytoplasm
O43041,ECO:0000269,Cytoplasm,Cytoplasm
O43041,ECO:0000269,Nucleus,Nucleus
P11596,ECO:0000269,Nucleus speckle,Nucleus
O64764,ECO:0000269,Mitochondrion matrix,Mitochondrion
Q9JMH6,ECO:0000269,Cytoplasm,Cytoplasm
Q9N2I8,ECO:0000269,Mitochondrion,Mitochondrion
Q9NNW7,ECO:0000269,Mitochondrion,Mitochondrion
Q9JLT4,ECO:0000269,Mitochondrion,Mitochondrion
Q9Z0J5,ECO:0000269,Mitochondrion,Mitochondrion
Q9JJL0,ECO:0000269,Cytoplasm,Cytoplasm
Q9JJL0,ECO:0000269,Nucleus,Nucleus
Q8NG11,ECO:0000269,Cell membrane,Cell.membrane
O95858,ECO:0000269,Cell membrane,Cell.membrane
F7BWT7,ECO:0000269,Cell membrane,Cell.membrane
Q9I745,ECO:0000269,Cytoplasm,Cytoplasm
Q96PF2,ECO:0000269,Cytoplasm,Cytoplasm
Q9D411,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
A4Q9F4,ECO:0000269,Cytoplasm,Cytoplasm
Q14166,ECO:0000269,Cytoplasm,Cytoplasm
Q14166,ECO:0000269,Nucleus,Nucleus
Q9VM91,ECO:0000269,Cytoplasm,Cytoplasm
Q23TC2,ECO:0000269,Cytoplasm,Cytoplasm
Q9VM92,ECO:0000269,Cytoplasm,Cytoplasm
Q9VM92,ECO:0000269,Nucleus,Nucleus
P0CAZ0,ECO:0000269,Cytoplasm,Cytoplasm
P25823,ECO:0000269,Cytoplasm,Cytoplasm
P36096,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
O00294,ECO:0000269,Cytoplasm,Cytoplasm
O00294,ECO:0000269,Cell membrane,Cell.membrane
P46686,ECO:0000269,Cytoplasm,Cytoplasm
P46686,ECO:0000269,Secreted,Extracellular
P84062,ECO:0000269,Secreted,Extracellular
Q9DBG9,ECO:0000269,Cytoplasm,Cytoplasm
Q9DBG9,ECO:0000269,Nucleus,Nucleus
C0HKG8,ECO:0000269,Secreted,Extracellular
P0DOC5,ECO:0000269,Secreted,Extracellular
P84063,ECO:0000269,Secreted,Extracellular
C0HKG9,ECO:0000269,Secreted,Extracellular
C0HJK1,ECO:0000269,Secreted,Extracellular
P61509,ECO:0000269,Secreted,Extracellular
P61510,ECO:0000269,Secreted,Extracellular
P83108,ECO:0000269,Secreted,Extracellular
P0DL84,ECO:0000269,Secreted,Extracellular
P84507,ECO:0000269,Secreted,Extracellular
P85117,ECO:0000269,Secreted,Extracellular
Q6B4T5,ECO:0000269,Secreted,Extracellular
A0A023W0B6,ECO:0000269,Secreted,Extracellular
A0A023W157,ECO:0000269,Secreted,Extracellular
P85274,ECO:0000269,Secreted,Extracellular
P83902,ECO:0000269,Secreted,Extracellular
P84014,ECO:0000269,Secreted,Extracellular
P81792,ECO:0000269,Secreted,Extracellular
P84031,ECO:0000269,Secreted,Extracellular
P83901,ECO:0000269,Secreted,Extracellular
P84837,ECO:0000269,Secreted,Extracellular
P68424,ECO:0000269,Secreted,Extracellular
P82959,ECO:0000269,Secreted,Extracellular
P83480,ECO:0000269,Secreted,Extracellular
B3EWH0,ECO:0000269,Secreted,Extracellular
P83476,ECO:0000269,Secreted,Extracellular
P0DL75,ECO:0000269,Secreted,Extracellular
B3EWU1,ECO:0000269,Secreted,Extracellular
B3EWU2,ECO:0000269,Secreted,Extracellular
B3EWU3,ECO:0000269,Secreted,Extracellular
B3EWU4,ECO:0000269,Secreted,Extracellular
B3EWU5,ECO:0000269,Secreted,Extracellular
B3EWU6,ECO:0000269,Secreted,Extracellular
B3EWU8,ECO:0000269,Secreted,Extracellular
P0DJ08,ECO:0000269,Secreted,Extracellular
B3EWV5,ECO:0000269,Secreted,Extracellular
B3EWV8,ECO:0000269,Secreted,Extracellular
B3EWV9,ECO:0000269,Secreted,Extracellular
B3EWW0,ECO:0000269,Secreted,Extracellular
B3EWW1,ECO:0000269,Secreted,Extracellular
O43914,ECO:0000269,Cell membrane,Cell.membrane
O54885,ECO:0000269,Cell membrane,Cell.membrane
Q6R6M4,ECO:0000269,Nucleus,Nucleus
Q6R6M4,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q6QN14,ECO:0000269,Nucleus,Nucleus
Q6QN14,ECO:0000269,Cytoplasm,Cytoplasm
A0A0A0V633,ECO:0000269,Secreted,Extracellular
O75643,ECO:0000269,Nucleus,Nucleus
O94617,ECO:0000269,Cytoplasm,Cytoplasm
O94617,ECO:0000269,Nucleus,Nucleus
Q07307,ECO:0000269,Cell membrane,Cell.membrane
P51668,ECO:0000269,Cytoplasm,Cytoplasm
Q9GZZ9,ECO:0000269,Cytoplasm,Cytoplasm
Q9GZZ9,ECO:0000269,Nucleus,Nucleus
Q9GZZ9,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9GZZ9,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9BSL1,ECO:0000269,Cytoplasm,Cytoplasm
O15205,ECO:0000269,Nucleus,Nucleus
P63072,ECO:0000269,Nucleus,Nucleus
P63072,ECO:0000269,Cytoplasm,Cytoplasm
P57080,ECO:0000269,Cytoplasm,Cytoplasm
P57080,ECO:0000269,Nucleus,Nucleus
Q9SCJ9,ECO:0000269,Nucleus,Nucleus
Q9BXU7,ECO:0000269,Nucleus,Nucleus
Q8CEG8,ECO:0000269,Cytoplasm,Cytoplasm
Q8CEG8,ECO:0000269,Nucleus,Nucleus
Q96RU2,ECO:0000269,Nucleus,Nucleus
Q07963,ECO:0000269,Cytoplasm,Cytoplasm
Q9W3M3,ECO:0000269,Cytoplasm,Cytoplasm
Q9W3M3,ECO:0000269,Nucleus,Nucleus
Q99K23,ECO:0000269,Cytoplasm,Cytoplasm
Q99K23,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q99K23,ECO:0000269,Nucleus,Nucleus
Q94218,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q94218,ECO:0000269,Cytoplasm,Cytoplasm
P32837,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
A0JNW5,ECO:0000269,Cytoplasm,Cytoplasm
Q8TAS1,ECO:0000269,Nucleus,Nucleus
Q62768,ECO:0000269,Cell junction,Cell.membrane
Q9VBY8,ECO:0000269,Cytoplasm,Cytoplasm
Q9VBY8,ECO:0000269,Lysosome,Lysosome/Vacuole
B2RUP2,ECO:0000269,Lysosome,Lysosome/Vacuole
Q9SIP1,ECO:0000269,Peroxisome,Peroxisome
P86737,ECO:0000269,Secreted,Extracellular
P86692,ECO:0000269,Secreted,Extracellular
P86738,ECO:0000269,Secreted,Extracellular
P86968,ECO:0000269,Secreted,Extracellular
P86728,ECO:0000269,Secreted,Extracellular
P86725,ECO:0000269,Secreted,Extracellular
P86726,ECO:0000269,Secreted,Extracellular
A0A0H2VCA1,ECO:0000269,Cell surface,Extracellular
O64642,ECO:0000269,Cytoplasm,Cytoplasm
Q9ES64,ECO:0000269,Cytoplasm,Cytoplasm
Q9VPQ6,ECO:0000269,Nucleus,Nucleus
Q9W3N6,ECO:0000269,Cytoplasm,Cytoplasm
Q9W3N6,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9W3N6,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q9W3N6,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O60763,ECO:0000269,Cytoplasm,Cytoplasm
O60763,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
P41542,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q8W4L5,ECO:0000269,Nucleus,Nucleus
P38606,ECO:0000269,Cytoplasm,Cytoplasm
Q9XXU9,ECO:0000269,Cytoplasm,Cytoplasm
O82628,ECO:0000269,Cell membrane,Cell.membrane
O82628,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P87377,ECO:0000269,Nucleus,Nucleus
P37466,ECO:0000269,Cytoplasm,Cytoplasm
Q05320,ECO:0000269,Secreted,Extracellular
Q9I741,ECO:0000269,Secreted,Extracellular
Q9I737,ECO:0000269,Secreted,Extracellular
Q9I0F3,ECO:0000269,Secreted,Extracellular
Q9I6M7,ECO:0000269,Secreted,Extracellular
Q9HYC3,ECO:0000269,Secreted,Extracellular
A0KJB0,ECO:0000269,Secreted,Extracellular
K7WKL8,ECO:0000269,Secreted,Extracellular
Q9KS45,ECO:0000269,Secreted,Extracellular
P08670,ECO:0000269,Cytoplasm,Cytoplasm
P20152,ECO:0000269,Cytoplasm,Cytoplasm
P20152,ECO:0000269,Cell membrane,Cell.membrane
P31000,ECO:0000269,Nucleus matrix,Nucleus
P19826,ECO:0000269,Cell membrane,Cell.membrane
P19826,ECO:0000269,Cell junction,Cell.membrane
P12003,ECO:0000269,Cell membrane,Cell.membrane
P12003,ECO:0000269,Cell junction,Cell.membrane
Q54MH2,ECO:0000269,Cytoplasm,Cytoplasm
Q54MH2,ECO:0000269,Cell junction,Cell.membrane
C0HJF4,ECO:0000269,Secreted,Extracellular
Q8T0W4,ECO:0000269,Secreted,Extracellular
P84473,ECO:0000269,Secreted,Extracellular
P84470,ECO:0000269,Secreted,Extracellular
P40570,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q9XWU8,ECO:0000269,Cytoplasm,Cytoplasm
Q54NL4,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q96GC9,ECO:0000269,Cell membrane,Cell.membrane
Q96GC9,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q91ZQ0,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P86392,ECO:0000269,Secreted,Extracellular
Q9VU08,ECO:0000269,Cytoplasm,Cytoplasm
Q9VU08,ECO:0000269,Lysosome,Lysosome/Vacuole
Q05128,ECO:0000269,Secreted,Extracellular
Q9UK41,ECO:0000269,Cell membrane,Cell.membrane
Q9UTI5,ECO:0000269,Cytoplasm,Cytoplasm
Q9UTI5,ECO:0000269,Nucleus,Nucleus
Q9PRW4,ECO:0000269,Secreted,Extracellular
Q9PRW3,ECO:0000269,Secreted,Extracellular
P81661,ECO:0000269,Secreted,Extracellular
Q06263,ECO:0000269,Cytoplasm,Cytoplasm
Q9UR17,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P40046,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P43585,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q02725,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P47075,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q7TSP5,ECO:0000269,Cell membrane,Cell.membrane
P02774,ECO:0000269,Secreted,Extracellular
P21614,ECO:0000269,Secreted,Extracellular
P04276,ECO:0000269,Secreted,Extracellular
Q5BQN5,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q5BQN5,ECO:0000269,Cytoplasm,Cytoplasm
Q03631,ECO:0000269,Nucleus,Nucleus
O45797,ECO:0000269,Cytoplasm,Cytoplasm
O45797,ECO:0000269,Apical cell membrane,Cell.membrane
Q9VA38,ECO:0000269,Cytoplasm,Cytoplasm
Q9LF27,ECO:0000269,Nucleus,Nucleus
Q8TAF3,ECO:0000269,Nucleus,Nucleus
Q8TAF3,ECO:0000269,Cytoplasm,Cytoplasm
Q8TAF3,ECO:0000269,Lysosome,Lysosome/Vacuole
O43379,ECO:0000269,Nucleus,Nucleus
O43379,ECO:0000269,Cytoplasm,Cytoplasm
Q9NNW5,ECO:0000269,Cytoplasm,Cytoplasm
Q9USZ0,ECO:0000269,Cytoplasm,Cytoplasm
Q9USZ0,ECO:0000269,Nucleus,Nucleus
Q8BTE6,ECO:0000269,Secreted,Extracellular
Q9S426,ECO:0000269,Cytoplasm,Cytoplasm
P09544,ECO:0000269,Secreted,Extracellular
O14904,ECO:0000269,Secreted,Extracellular
O14905,ECO:0000269,Secreted,Extracellular
P09615,ECO:0000269,Secreted,Extracellular
P09615,ECO:0000269,Cell junction,Cell.membrane
